tech_group,firm,hour_class,n_cells,frac_flagged,frac_high_std,median_d,median_dw,median_ratio
CCGT,IB,critical,7831,0.057719320648703866,0.35870259226152473,20909.2,0.0,0.0
CCGT,IB,flat,2139,0.03927068723702665,0.07199625993454885,2865.335,0.0,0.0
CCGT,GE,critical,5195,0.018479307025986526,0.3470644850818094,1897.23,91.42114735051395,0.004252626131213966
CCGT,GE,flat,1413,0.0,0.06935598018400566,,,
CCGT,GN,critical,14930,0.24541192230408573,0.36336235766912256,137174.844,1890.6666666666672,0.02469249176838321
CCGT,GN,flat,4065,0.0004920049200492004,0.07232472324723248,21745.8,457.33333333333337,0.013346680013346683
CCGT,HC,critical,2013,0.0004967709885742673,0.3651266766020864,131300.1,1504.8104380252003,0.011460847615692603
CCGT,HC,flat,549,0.00546448087431694,0.07285974499089254,390.0,0.0,0.0
Hydro,IB,critical,6072,0.020750988142292492,0.36561264822134387,37.99799999999193,0.0,0.0
Hydro,IB,flat,1656,0.0030193236714975845,0.07246376811594203,39778.46399999996,2815.9999999999995,0.07079207482722309
Hydro,GE,critical,5552,0.5641210374639769,0.3414985590778098,1.9000000000000057,1.5,1.0
Hydro,GE,flat,1488,0.4731182795698925,0.08064516129032258,1.5999999999999943,1.3000000000000007,1.0
Hydro,GN,critical,2993,0.0003341129301703976,0.36251252923488136,16.102,2.6666666666666674,0.16561089719703562
Hydro,GN,flat,810,0.0012345679012345679,0.0728395061728395,16.000999999999628,2.6666666666666594,0.1666562506510044
Hydro,HC,critical,847,0.0,0.38016528925619836,,,
Hydro,HC,flat,231,0.0,0.07792207792207792,,,
Hydro_pump,IB,critical,1001,0.003996003996003996,0.3646353646353646,6158.338500000019,2.666666666666586,0.07030538874272192
Hydro_pump,IB,flat,273,0.0,0.07326007326007326,,,
Hydro_pump,GE,critical,2670,0.0003745318352059925,0.349812734082397,1956.4999999999995,206.7953372333338,0.10569656899224833
Hydro_pump,GE,flat,372,0.0,0.07795698924731183,,,
Hydro_pump,GN,critical,1006,0.0,0.36381709741550694,,,
Hydro_pump,GN,flat,276,0.0,0.07246376811594203,,,
Nuclear,IB,critical,2907,0.3188854489164087,0.3453732370141039,205.70000000000005,205.70000000000005,1.0
Nuclear,IB,flat,800,0.31625,0.06875,119.80000000000007,119.80000000000007,1.0
Nuclear,GE,critical,2473,0.040436716538617065,0.36433481601293977,67477.5,600.0000000000001,0.008847600088476003
Nuclear,GE,flat,672,0.019345238095238096,0.0744047619047619,2885.0000000000023,194.66666666666663,0.46494772160493825
Wind,IB,critical,4539,0.9715796430931923,0.36329588014981273,1.0999999999999943,0.8000000000000043,1.0
Wind,IB,flat,1283,0.9727201870615745,0.07326578332034295,1.0,0.8000000000000043,1.0
Wind,GN,critical,4152,0.9265414258188824,0.3627167630057804,0.19500000000000003,0.0,0.0
Wind,GN,flat,1159,0.9257981018119068,0.0724762726488352,0.12999999999999998,0.0,0.0
Wind,HC,critical,3990,0.937092731829574,0.3649122807017544,3.1000000000000014,0.0,0.0
Wind,HC,flat,1081,0.9380203515263644,0.07400555041628122,3.099999999999998,0.0,0.0
Solar PV,IB,critical,960,0.9947916666666666,0.5520833333333334,7.9,7.9,1.0
Solar PV,GE,critical,64,0.03125,0.625,0.1,0.1,1.0
Solar PV,GN,critical,1594,0.1587202007528231,0.35319949811794227,12.400000000000006,12.400000000000006,1.0
Solar PV,GN,flat,411,0.0,0.06569343065693431,,,
Solar PV,HC,critical,325,1.0,0.56,42.11999999999997,0.0,0.0
Pump_load,IB,critical,2558,0.03244722439405786,0.3608287724784988,480.75,153.05975338333621,0.5120358963110038
Pump_load,IB,flat,866,0.05542725173210162,0.06581986143187067,222.20000000000113,95.41099468620385,0.786460236666664
Pump_load,GE,critical,1370,0.0,0.3386861313868613,,,
Pump_load,GE,flat,617,0.0,0.05672609400324149,,,
Pump_load,GN,critical,1010,0.0,0.36534653465346534,,,
Pump_load,GN,flat,276,0.0,0.07246376811594203,,,
Pump_load,HC,critical,946,0.0,0.3678646934460888,,,
Pump_load,HC,flat,261,0.0,0.07279693486590039,,,
Retailer,IB,critical,3423,0.40870581361378905,0.3678060181127666,33.60000000000002,33.60000000000002,1.0
Retailer,IB,flat,923,0.4019501625135428,0.07258938244853738,22.40000000000009,22.40000000000009,1.0
Retailer,GE,critical,3971,0.7645429362880887,0.36590279526567615,26.39999999999992,26.39999999999992,1.0
Retailer,GE,flat,1083,0.76269621421976,0.0729455216989843,22.650000000000034,22.650000000000034,1.0
Retailer,GN,critical,4048,0.21961462450592886,0.36561264822134387,0.20000000000000018,0.20000000000000018,1.0
Retailer,GN,flat,1104,0.15760869565217392,0.07246376811594203,0.10000000000000053,0.10000000000000053,1.0
Retailer,HC,critical,1100,0.004545454545454545,0.35454545454545455,2.2400000000000118,0.0,0.0
Retailer,HC,flat,300,0.0,0.06666666666666667,,,
Direct_consumer,IB,critical,1012,0.9594861660079052,0.36561264822134387,0.3000000000000007,0.3000000000000007,1.0
Direct_consumer,IB,flat,276,0.9528985507246377,0.07246376811594203,0.3000000000000007,0.3000000000000007,1.0
Direct_consumer,HC,critical,1612,0.15570719602977667,0.3629032258064516,0.10000000000000009,0.10000000000000009,1.0
Direct_consumer,HC,flat,441,0.12244897959183673,0.07029478458049887,0.10000000000000009,0.10000000000000009,1.0
