reform,market,tech,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat
ID15,IDA,All,sigma_p,83887,1.0992204016145593,0.4058929508250079,2.70815346603165,8.587118264175187,6.589033878430869,11.528725391029349,8.840870744509704
ID15,IDA,All,n_eff,83887,0.0649752707968663,0.10270723921124239,0.6326260086032385,4.079523466437585,4.943346379634779,5.974490795010622,7.308523352256338
ID15,IDA,CCGT,sigma_p,27551,2.7469649353524552,0.7211814537135346,3.8089788931865627,9.264941430412104,6.453818424098259,15.46625318722969,10.642669341709924
ID15,IDA,CCGT,n_eff,27551,1.4431143162851305,0.2733827406065988,5.278732348220147,7.94389567014941,11.423365967401057,10.974775838955676,13.520724239981735
ID15,IDA,Hydro,sigma_p,43805,-0.0034661906587357683,0.47286977640031586,-0.007330116729222733,9.691163530181091,7.9744977573668105,10.134170161105695,8.608694373403472
ID15,IDA,Hydro,n_eff,43805,-0.09141146740641437,0.07635368273917964,-1.197210980885773,3.068855498478902,2.5316893153724354,2.9173145267609204,2.5879228791651534
ID15,IDA,Hydro_pump,sigma_p,12531,0.621947842718137,0.46019843010639183,1.3514775410562587,4.275090779821886,2.2237729851752746,4.712118044275965,2.58604922999673
ID15,IDA,Hydro_pump,n_eff,12531,0.13743159930725768,0.1019183964908479,1.3484474249906278,2.315269839019373,1.6992113159227185,2.4262222035465872,1.9662739122229356
DA15,DA,All,sigma_p,129100,2.259037553961181,0.43486573856878713,5.1947931363736215,15.569008951793482,18.191128460304217,16.3416977151578,16.88871478830345
DA15,DA,All,n_eff,129100,0.17835533985330987,0.0395569602344202,4.508823195623491,3.0616481292987983,3.4147941979930563,3.064786372342938,3.2792157642513775
DA15,DA,CCGT,sigma_p,56527,1.54826090038949,0.8094213905653568,1.9127995855262434,20.171728188386133,22.237697127419427,19.211244026620026,18.846121635436347
DA15,DA,CCGT,n_eff,56527,0.40193433348043783,0.06155185932028004,6.530011244485817,2.6730462943310087,2.883644845326974,2.583024023671236,2.2612847218644117
DA15,DA,Hydro,sigma_p,64555,2.770494307811912,0.43858474166503225,6.316896245168211,12.109978104929654,15.713256216389443,17.068182220456205,17.32240677783944
DA15,DA,Hydro,n_eff,64555,0.04986350315395738,0.048281236825986555,1.032771868162234,3.2879617037662454,3.773459070580426,3.4935844448123268,3.908053425447793
DA15,DA,Hydro_pump,sigma_p,8018,0.37810022541250743,0.3523118369811453,1.0731976213241516,4.5378641342640895,3.60114000557476,3.407030723113012,2.9547719640487347
DA15,DA,Hydro_pump,n_eff,8018,0.13790605327972494,0.062397704176664834,2.2101142197359613,4.679258622914714,5.011716890112205,2.7224860106367363,4.1324957129305995
