tech,unit,firm,reform,hour_class,n_cell,level_shift,tilt_std,beta_PC1,beta_PC2,beta_PC3
CCGT,ACE3,IB,ISP15,Critical,1750,-18.899404180154633,1.0079327302813466,188.0788955031458,8.921320207868106,-2.4302539700180916
CCGT,ACE3,IB,ISP15,Flat,315,-9.23541676935367,0.7549588967286186,91.91430057922932,6.776107155506743,-0.6238488374856904
CCGT,ACE3,IB,ISP15,Midday,328,-15.680953114025192,0.9946327191837733,156.055749185709,8.80128892694828,-2.7424954123420675
CCGT,ACE3,IB,MTU15-IDA,Critical,829,-3.54210088700032,1.4367021727047045,35.20415004077348,-14.326281066457435,-0.7719265021179219
CCGT,ACE3,IB,Reforzada,Critical,729,-4.14818384817457,1.8466255076931646,41.22204628132746,-18.41884424247833,0.9976281169847895
CCGT,ACE3,IB,MTU15-DA,Critical,643,-9.286592942438634e-15,1.5102056803717524e-15,9.237055564881302e-14,-1.4210854715202004e-14,-5.329070518200751e-15
CCGT,ACE4,GN,ISP15,Critical,882,-15.406468611753239,4.908593099700762,-154.30762439283401,-39.94021463841885,-20.514007569828053
CCGT,ACE4,GN,MTU15-IDA,Critical,426,8.679375302601313,0.8735742113635209,86.2125639351872,-4.570121454940695,6.085670564143747
CCGT,ACE4,GN,Reforzada,Critical,381,8.402775001133891,3.60449075109548,84.50907360050087,22.913077260062686,-22.18625278797652
CCGT,ACE4,GN,MTU15-DA,Critical,2005,-9.856337076496015,5.541731376495967,-99.45224889222645,-32.276200296707856,41.45518044349525
CCGT,ALG3,REP,Reforzada,Critical,603,12.220444361036215,3.129424147177451,-119.95618975579201,-35.41651171562613,5.47742247925627
CCGT,ALG3,REP,Reforzada,Flat,252,-15.079756659511148,5.2182260541618355,151.2077917675679,-41.98155564143492,-14.127985325471439
CCGT,ALG3,REP,MTU15-DA,Critical,3374,6.781467440656467,1.2569609652892806,-67.98466879812689,-3.107640280636983,-6.652309408624441
CCGT,ALG3,REP,MTU15-DA,Flat,428,2.6868214180650094,1.444547413460144,-26.45583751845366,-14.140040878352657,-3.224416349937565
CCGT,ALG3,REP,MTU15-DA,Midday,270,2.914372937717189,1.675274920209748,-29.915971249190484,14.905056442659154,0.0802612430404802
CCGT,ARCOS1,IB,ISP15,Critical,1291,-15.735347919181661,1.1944937396278297,-156.64754669730965,-9.387145393261049,4.52844814068289
CCGT,ARCOS1,IB,MTU15-IDA,Critical,677,-0.9290412424400899,1.3579013863800036,-9.141821332465298,12.892844729516398,-1.7291316468191655
CCGT,ARCOS1,IB,Reforzada,Critical,906,0.45365334797938,1.160236540046886,4.60147658373575,10.898808267917858,-2.7082015400956014
CCGT,ARCOS1,IB,MTU15-DA,Critical,3748,7.697053181859817,3.8184712300088304,76.29700059141885,-36.9844112451108,1.410782900020089
CCGT,ARCOS1,IB,MTU15-DA,Flat,264,-8.238005398773995,2.4649773091230904,-82.15178600382855,-23.049909349262677,1.9849976971891001
CCGT,ARCOS1,IB,MTU15-DA,Midday,533,-13.021010806671791,0.6442345430334703,-129.5992747287984,-4.700925338521414,0.7204007888445443
CCGT,ARCOS2,IB,ISP15,Critical,1840,-13.129779207365457,0.9967077794876645,130.65387517958098,-9.49279276496801,-0.4121380760286441
CCGT,ARCOS2,IB,ISP15,Flat,251,-2.141433917270327,0.722610592782554,21.317087493622335,-6.79057386454387,-0.012884168621663047
CCGT,ARCOS2,IB,ISP15,Midday,329,-13.740883710367568,0.9666750612772254,136.7313163518933,-9.192763465919304,0.8303928330578737
CCGT,ARCOS2,IB,MTU15-IDA,Critical,753,-26.896629776333302,2.3400342900167046,267.5964843763254,22.708604096812966,-1.004995182844129
CCGT,ARCOS2,IB,Reforzada,Critical,752,22.01232195494847,1.0652918552957653,-219.01417527181482,-8.0064152555678,-0.07710414368641076
CCGT,ARCOS2,IB,Reforzada,Flat,230,-0.6676904892414915,0.6089428160727026,6.63733925094098,5.942385271469593,-0.4223379305506292
CCGT,ARCOS2,IB,MTU15-DA,Critical,3585,3.8136883066529554,0.9730202916365494,-37.935662614141464,-9.417664518981015,0.7953544459471313
CCGT,ARCOS2,IB,MTU15-DA,Flat,377,-3.8887690660412315,1.070365327600715,38.7033549273996,-10.376995150354412,1.199729217206412
CCGT,ARCOS2,IB,MTU15-DA,Midday,675,-19.028600011035138,0.6383465787005576,189.3391389472991,-5.759775478407351,0.9813703507042213
CCGT,ARCOS3,IB,ISP15,Critical,409,-14.18387006675407,1.2493915235334498,141.61038901971614,-0.6512099926838187,-0.33473022615589154
CCGT,ARCOS3,IB,Reforzada,Critical,479,2.079515040093963,4.090627868258408,-17.12449839383227,41.652862043787,7.361159529604604
CCGT,ARCOS3,IB,MTU15-DA,Critical,3680,-0.6632372820112789,0.7361747501975203,7.179527451054322,6.362375054929209,-1.4979006129995813
CCGT,ARCOS3,IB,MTU15-DA,Midday,498,-12.928531402361875,0.38451000328870855,128.4324038694996,-7.945608405130767,-1.4528625702953395
CCGT,BAHIAB,OTH,ISP15,Critical,1000,-11.973470310113537,1.6611237028155537,119.13908105703958,-15.945742962301363,-2.4215997360950663
CCGT,BAHIAB,OTH,MTU15-IDA,Critical,477,5.713021352781483e-15,3.6806235378412383e-16,-5.684341886080802e-14,-3.552713678800501e-15,-8.881784197001252e-16
CCGT,BES4,GN,ISP15,Critical,801,-15.028629300662027,2.0011257350623697,149.41839343024452,-1.0851099140940492,19.468665627472387
CCGT,BES4,GN,MTU15-IDA,Critical,513,5.3197712281766005,2.1125846566735653,-53.03659709361761,17.969937423818592,-6.61358872825863
CCGT,BES4,GN,Reforzada,Critical,393,-8.367577879218643,7.516755386470337,83.948480457114,-41.05587656524157,-57.94238841309384
CCGT,BES4,GN,MTU15-DA,Critical,1904,6.017850128700804,8.74687361050683,-60.67891847576973,65.37881881913812,51.16025026124698
CCGT,CAMG20R,OTH,ISP15,Critical,1353,-15.951345009695876,9.90110982528055,-163.39471456478972,81.57202420451993,-30.491822635229255
CCGT,CAMG20R,OTH,ISP15,Flat,302,-2.4770159911512755,12.952856687543184,-31.047805896543174,116.95508452245821,-21.928905830212976
CCGT,CAMG20R,OTH,ISP15,Midday,277,-13.559797775621933,22.075187498295783,-146.25226182938923,201.32261417997606,-37.68190351394472
CCGT,CAMG20R,OTH,MTU15-IDA,Critical,473,-2.848260220740722e-14,2.6165638417757403e-15,-2.8421709430404007e-13,3.552713678800501e-15,1.2434497875801753e-14
CCGT,CAMGI10,GN,ISP15,Critical,974,-13.16153920356334,2.3245027226109043,-130.4683144345425,-14.8844632210552,-20.01648314688788
CCGT,CAMGI10,GN,MTU15-IDA,Critical,531,9.14217024945297,3.446457473624788,91.4268742551766,-31.2769017816451,-8.995868617084307
