regime,tech,firm,hour_class,n_cells,pct_flagged_d,pct_flagged_dw,median_dw,p99_dw
pre_blackout,CCGT,IB,critical,436,10.321100917431194,9.63302752293578,0.0,814.509368777271
pre_blackout,CCGT,IB,flat,129,6.976744186046512,6.976744186046512,0.0,7.439999999999998
pre_blackout,CCGT,GE,critical,1038,36.80154142581888,14.065510597302506,0.0,6645.159124981976
pre_blackout,CCGT,GE,flat,270,28.51851851851852,10.0,0.0,2144.7443941206475
pre_blackout,CCGT,GN,critical,1441,43.51145038167939,30.53435114503817,0.0,4162.086068487222
pre_blackout,CCGT,GN,flat,751,14.247669773635153,9.187749667110518,0.0,396.8370997622738
pre_blackout,CCGT,HC,critical,190,27.89473684210526,27.89473684210526,0.0,2225.356403076548
pre_blackout,CCGT,HC,flat,135,20.74074074074074,20.74074074074074,0.0,1965.8430462704378
pre_blackout,Hydro,IB,critical,978,18.916155419222903,15.132924335378323,0.0,6451.823418496772
pre_blackout,Hydro,IB,flat,301,4.318936877076411,4.318936877076411,0.0,619.4920338777317
pre_blackout,Hydro,GE,critical,1189,20.100925147182505,20.016820857863753,0.0,559.0493414903021
pre_blackout,Hydro,GE,flat,290,4.482758620689655,4.482758620689655,0.0,29.0
pre_blackout,Hydro,GN,critical,1087,11.40754369825207,5.703771849126035,0.0,1666.8496803381915
pre_blackout,Hydro,GN,flat,285,4.56140350877193,2.456140350877193,0.0,53.02492241261761
pre_blackout,Hydro,HC,critical,249,16.06425702811245,16.06425702811245,0.0,2422.00541107773
pre_blackout,Hydro,HC,flat,68,4.411764705882353,4.411764705882353,0.0,161.73338415177346
pre_blackout,Hydro_pump,IB,critical,201,23.88059701492537,22.885572139303484,0.0,3490.258670865194
pre_blackout,Hydro_pump,IB,flat,74,12.162162162162163,12.162162162162163,0.0,875.5469343470867
pre_blackout,Hydro_pump,GE,critical,198,22.727272727272727,22.727272727272727,0.0,2383.2502902955694
pre_blackout,Hydro_pump,GE,flat,62,16.129032258064516,16.129032258064516,0.0,850.6748198648525
pre_blackout,Hydro_pump,GN,critical,386,10.621761658031089,10.103626943005182,0.0,1712.0051139606358
pre_blackout,Hydro_pump,GN,flat,114,0.0,0.0,0.0,0.0
pre_blackout,Nuclear,IB,critical,126,40.476190476190474,40.476190476190474,0.0,5364.2176764456235
pre_blackout,Nuclear,IB,flat,24,45.83333333333333,45.83333333333333,0.0,1151.0628660781117
pre_blackout,Nuclear,GE,critical,317,2.2082018927444795,2.2082018927444795,0.0,6193.335559773378
pre_blackout,Nuclear,GE,flat,109,1.834862385321101,0.0,0.0,0.0
post_blackout,CCGT,IB,critical,3150,21.047619047619047,20.253968253968253,0.0,1785.244350219005
post_blackout,CCGT,IB,flat,843,6.405693950177936,6.168446026097272,0.0,994.3677896442598
post_blackout,CCGT,GE,critical,5078,53.564395431272146,43.816463174478145,0.0,6299.654579794737
post_blackout,CCGT,GE,flat,1412,38.243626062322946,33.21529745042493,0.0,3098.225791604005
post_blackout,CCGT,GN,critical,10533,61.748789518655656,53.830817430931354,45.42122404948951,5457.61025222525
post_blackout,CCGT,GN,flat,2783,38.84297520661157,37.87279913762127,0.0,1750.521671520684
post_blackout,CCGT,HC,critical,1358,35.56701030927835,34.241531664212076,0.0,4011.697559462723
post_blackout,CCGT,HC,flat,590,21.1864406779661,21.1864406779661,0.0,3235.7734786841766
post_blackout,Hydro,IB,critical,4474,24.49709432275369,20.809119356280732,0.0,12416.54150051731
post_blackout,Hydro,IB,flat,1350,7.777777777777778,7.2592592592592595,0.0,4197.262067407157
post_blackout,Hydro,GE,critical,3236,25.58714462299135,25.46353522867738,0.0,1102.7296445262964
post_blackout,Hydro,GE,flat,682,6.3049853372434015,6.3049853372434015,0.0,899.1600247774526
post_blackout,Hydro,GN,critical,4813,15.20880947434033,12.777893205900687,0.0,3930.1333333333364
post_blackout,Hydro,GN,flat,1308,2.1406727828746175,1.834862385321101,0.0,1038.4142237536298
post_blackout,Hydro,HC,critical,954,24.947589098532493,24.31865828092243,0.0,3811.3185048478895
post_blackout,Hydro,HC,flat,215,13.023255813953488,13.023255813953488,0.0,1095.0961166289512
post_blackout,Hydro_pump,IB,critical,609,30.541871921182267,29.22824302134647,0.0,9113.14647508637
post_blackout,Hydro_pump,IB,flat,249,8.835341365461847,8.835341365461847,0.0,8639.063036662197
post_blackout,Hydro_pump,GE,critical,712,49.43820224719101,49.43820224719101,0.0,5789.022629088589
post_blackout,Hydro_pump,GE,flat,317,40.37854889589905,40.37854889589905,0.0,2070.851506854557
post_blackout,Hydro_pump,GN,critical,1528,11.845549738219894,10.798429319371728,0.0,2570.1089427998886
post_blackout,Hydro_pump,GN,flat,424,5.4245283018867925,5.4245283018867925,0.0,1254.0043294292975
post_blackout,Nuclear,IB,critical,762,18.635170603674542,18.635170603674542,0.0,4198.494923360585
post_blackout,Nuclear,IB,flat,19,36.84210526315789,36.84210526315789,0.0,2409.3980358561676
post_blackout,Nuclear,GE,critical,500,22.2,21.4,0.0,1210.4960803032616
post_blackout,Nuclear,GE,flat,146,17.80821917808219,17.80821917808219,0.0,797.8743016205317
